run_id,class_label,mean_support,mean_precision,mean_recall,mean_f1,sd_recall,min_recall,flat_mean_recall,flat_mean_f1,top10_weighted_mean_recall,top10_weighted_mean_f1,delta_recall_top10_weighted_vs_flat,delta_f1_top10_weighted_vs_flat,model
iotid_fine_lgbm_mi_top10_flat,Mirai-UDP Flooding,55066.0,0.7880832085724484,0.7760360294918824,0.781604157683176,0.015744780607591564,0.7517524425235173,0.7681073620746014,0.7760922831424739,0.7037355173791451,0.8260757598220104,-0.06437184469545632,0.04998347667953651,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,Mirai-UDP Flooding,55066.0,0.9999045463460281,0.7037355173791451,0.8260757598220104,0.001216178034454194,0.7016489303744597,0.7681073620746014,0.7760922831424739,0.7037355173791451,0.8260757598220104,-0.06437184469545632,0.04998347667953651,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Mirai-UDP Flooding,55066.0,0.9999045463460281,0.7037355173791451,0.8260757598220104,0.001216178034454194,0.7016489303744597,0.7681073620746014,0.7760922831424739,0.7037355173791451,0.8260757598220104,-0.06437184469545632,0.04998347667953651,Validation controlled ensemble
iotid_fine_xgb_weighted,Mirai-UDP Flooding,55066.0,0.9998735545620393,0.70373733338176,0.8260664506978388,0.0012148380358039397,0.7016489303744597,0.7681073620746014,0.7760922831424739,0.7037355173791451,0.8260757598220104,-0.06437184469545632,0.04998347667953651,Weighted XGBoost
iotid_fine_lgbm_full,Normal,12022.0,0.9986722469718032,0.9696639494260522,0.9839540554673775,0.001030793698969667,0.9685576443187488,0.9696639494260522,0.9839540554673775,0.9704874396938946,0.9832545478687045,0.0008234902678424527,-0.0006995075986729882,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,Normal,12022.0,0.9984758700686778,0.9697970387622691,0.9839272460613622,0.0009332495948222566,0.9686408251538844,0.9696639494260522,0.9839540554673775,0.9704874396938946,0.9832545478687045,0.0008234902678424527,-0.0006995075986729882,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,Normal,12022.0,0.9963628582260513,0.9704874396938946,0.9832545478687045,0.0009025535867963618,0.969139910164698,0.9696639494260522,0.9839540554673775,0.9704874396938946,0.9832545478687045,0.0008234902678424527,-0.0006995075986729882,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Normal,12022.0,0.9965080288323003,0.9704708035268675,0.9833165036184189,0.0009304032460246658,0.969139910164698,0.9696639494260522,0.9839540554673775,0.9704874396938946,0.9832545478687045,0.0008234902678424527,-0.0006995075986729882,Validation controlled ensemble
iotid_fine_xgb_weighted,Normal,12022.0,0.9963138630075546,0.9686657794044253,0.9822948498245248,0.0008074684332488821,0.9678921976376644,0.9696639494260522,0.9839540554673775,0.9704874396938946,0.9832545478687045,0.0008234902678424527,-0.0006995075986729882,Weighted XGBoost
iotid_fine_lgbm_full,Scan Hostport,6658.0,0.7872924772932155,0.2691048362871733,0.4010976076589968,0.002983853842103221,0.2637428657254431,0.2691048362871733,0.4010976076589968,0.4820216281165515,0.3595191959570455,0.21291679182937823,-0.04157841170195131,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,Scan Hostport,6658.0,0.7876179791290755,0.26791829378191645,0.3998160112601824,0.0030187211797769965,0.2617903274256533,0.2691048362871733,0.4010976076589968,0.4820216281165515,0.3595191959570455,0.21291679182937823,-0.04157841170195131,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,Scan Hostport,6658.0,0.2867515544729143,0.4820216281165515,0.3595191959570455,0.008143867423653339,0.4656052868729348,0.2691048362871733,0.4010976076589968,0.4820216281165515,0.3595191959570455,0.21291679182937823,-0.04157841170195131,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Scan Hostport,6658.0,0.2868998421899717,0.48194653048963654,0.35961957415594886,0.007835721563504821,0.4656052868729348,0.2691048362871733,0.4010976076589968,0.4820216281165515,0.3595191959570455,0.21291679182937823,-0.04157841170195131,Validation controlled ensemble
iotid_fine_xgb_weighted,Scan Hostport,6658.0,0.28509908571759424,0.48235205767497746,0.3583367827701678,0.006491590307344511,0.4722138780414538,0.2691048362871733,0.4010976076589968,0.4820216281165515,0.3595191959570455,0.21291679182937823,-0.04157841170195131,Weighted XGBoost
iotid_fine_lgbm_full,Scan Port OS,15922.0,0.5032178172629002,0.6735962818741364,0.5759762968358317,0.013874907281298397,0.6460871749780178,0.6735962818741364,0.5759762968358317,0.7227986433865092,0.576645042456512,0.04920236151237278,0.0006687456206803111,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,Scan Port OS,15922.0,0.5004019525489267,0.6808315538248964,0.5767796950581234,0.009802451075564949,0.6631076497927396,0.6735962818741364,0.5759762968358317,0.7227986433865092,0.576645042456512,0.04920236151237278,0.0006687456206803111,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,Scan Port OS,15922.0,0.47968261434070303,0.7227986433865092,0.576645042456512,0.006557505278850981,0.7146715236779299,0.6735962818741364,0.5759762968358317,0.7227986433865092,0.576645042456512,0.04920236151237278,0.0006687456206803111,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Scan Port OS,15922.0,0.4796164778784469,0.7231315161411883,0.5767030394758546,0.0061616992025642315,0.7147343298580581,0.6735962818741364,0.5759762968358317,0.7227986433865092,0.576645042456512,0.04920236151237278,0.0006687456206803111,Validation controlled ensemble
iotid_fine_xgb_weighted,Scan Port OS,15922.0,0.4762483325977037,0.7236214043461876,0.5744170672887855,0.006532463384571134,0.7119708579324205,0.6735962818741364,0.5759762968358317,0.7227986433865092,0.576645042456512,0.04920236151237278,0.0006687456206803111,Weighted XGBoost
