bootstrap_id,baseline_macro_f1,ensemble_macro_f1,delta_macro_f1,baseline_balanced_accuracy,ensemble_balanced_accuracy,delta_balanced_accuracy,baseline_minority_recall,ensemble_minority_recall,delta_minority_recall,baseline_worst_class_recall,ensemble_worst_class_recall,delta_worst_class_recall
401,0.8634679672404759,0.8837086613514212,0.020240694110945312,0.8464084461403721,0.8893761351523584,0.04296768901198622,0.25555555555555554,0.5444444444444444,0.28888888888888886,0.25555555555555554,0.5444444444444444,0.28888888888888886
402,0.8618091024368058,0.8831869471204833,0.021377844683677538,0.8459128015785519,0.88998081109458,0.044068009516028184,0.1781818181818182,0.5127272727272727,0.3345454545454545,0.1781818181818182,0.5127272727272727,0.3345454545454545
403,0.8615319655602066,0.8831213281847855,0.02158936262457889,0.8450511705551168,0.8903844830715714,0.04533331251645456,0.17857142857142858,0.5396825396825397,0.36111111111111105,0.17857142857142858,0.5396825396825397,0.36111111111111105
404,0.8635366528224041,0.8820950228716349,0.018558370049230777,0.8464080450411077,0.8880517806037299,0.04164373556262224,0.20567375886524822,0.4858156028368794,0.2801418439716312,0.20567375886524822,0.4858156028368794,0.2801418439716312
405,0.858826704984911,0.8827040326855307,0.023877327700619677,0.8430632716957396,0.8871911042981317,0.04412783260239217,0.14049586776859505,0.45041322314049587,0.3099173553719008,0.14049586776859505,0.45041322314049587,0.3099173553719008
406,0.8610229255484262,0.884331595426837,0.023308669878410848,0.8445042368465611,0.890630627957619,0.046126391111057985,0.19285714285714287,0.5607142857142857,0.3678571428571429,0.19285714285714287,0.5607142857142857,0.3678571428571429
407,0.8616196192014884,0.882811811607767,0.021192192406278565,0.844829585728724,0.889163260233736,0.04433367450501202,0.1971326164874552,0.5555555555555556,0.3584229390681004,0.1971326164874552,0.5555555555555556,0.3584229390681004
408,0.8601240212986285,0.8822513741225189,0.022127352823890334,0.8438118413568323,0.8882007105556726,0.04438886919884033,0.1597222222222222,0.5173611111111112,0.35763888888888895,0.1597222222222222,0.5173611111111112,0.35763888888888895
409,0.8612813925478652,0.8819152505196284,0.020633857971763203,0.8442646963578005,0.8877221196955791,0.04345742333777858,0.2,0.5083333333333333,0.3083333333333333,0.2,0.5083333333333333,0.3083333333333333
410,0.8597194116446849,0.8830648284471193,0.023345416802434404,0.8426592690167919,0.8877883173655539,0.04512904834876197,0.17343173431734318,0.5571955719557196,0.3837638376383764,0.17343173431734318,0.5438829787234043,0.37045124440606114
411,0.8625011308983046,0.8816083284135601,0.01910719751525547,0.8454534488305181,0.8877985789202721,0.042345130089754046,0.2326388888888889,0.5243055555555556,0.2916666666666667,0.2326388888888889,0.5243055555555556,0.2916666666666667
412,0.8609209423367815,0.8825578447750457,0.021636902438264216,0.844049117780274,0.8864466780991149,0.0423975603188409,0.16730038022813687,0.467680608365019,0.30038022813688214,0.16730038022813687,0.467680608365019,0.30038022813688214
413,0.8623558066242548,0.8830389855025107,0.02068317887825588,0.8460203300936193,0.8896420379522771,0.04362170785865782,0.1827956989247312,0.5412186379928315,0.35842293906810035,0.1827956989247312,0.5412186379928315,0.35842293906810035
414,0.8605434802360574,0.8825747145104523,0.022031234274394906,0.8442442694775126,0.8877514298898997,0.043507160412387114,0.16058394160583941,0.48905109489051096,0.3284671532846716,0.16058394160583941,0.48905109489051096,0.3284671532846716
415,0.8627859195207443,0.8843259792782765,0.02154005975753215,0.8462477112214423,0.8895449559949826,0.043297244773540355,0.1955128205128205,0.5224358974358975,0.326923076923077,0.1955128205128205,0.5224358974358975,0.326923076923077
416,0.8616812379540372,0.8798411381017412,0.018159900147704078,0.8446512573658471,0.886385844417902,0.041734587052054906,0.21052631578947367,0.4692982456140351,0.25877192982456143,0.21052631578947367,0.4692982456140351,0.25877192982456143
417,0.8620701337403863,0.8838747700544051,0.021804636314018744,0.8452686146583358,0.8891157870184054,0.04384717236006963,0.19494584837545126,0.5487364620938628,0.3537906137184116,0.19494584837545126,0.5487364620938628,0.3537906137184116
418,0.8591785320907269,0.8826116822415143,0.023433150150787396,0.8435412461210755,0.8893130719382727,0.04577182581719719,0.1828358208955224,0.5,0.3171641791044776,0.1828358208955224,0.5,0.3171641791044776
419,0.8596472553754932,0.882329254324756,0.022681998949262705,0.8429494129664983,0.887648638827442,0.04469922586094377,0.17083333333333334,0.5041666666666667,0.3333333333333333,0.17083333333333334,0.5041666666666667,0.3333333333333333
420,0.8612545617667711,0.8841419991226679,0.022887437355896822,0.8446748068674382,0.8888762463868253,0.04420143951938704,0.19333333333333333,0.53,0.33666666666666667,0.19333333333333333,0.53,0.33666666666666667
421,0.8576032868107278,0.8816595074696543,0.02405622065892643,0.840741850543302,0.8864444433730813,0.04570259282977929,0.16483516483516483,0.4542124542124542,0.28937728937728935,0.16483516483516483,0.4542124542124542,0.28937728937728935
422,0.859965874632394,0.8824972235474041,0.022531348915010074,0.8437528502188214,0.8879612760186485,0.04420842579982709,0.199288256227758,0.5551601423487544,0.3558718861209964,0.199288256227758,0.5551601423487544,0.3558718861209964
423,0.8610758718765659,0.8856399636546842,0.024564091778118358,0.844335556471676,0.8915141251102422,0.047178568638566176,0.17846153846153845,0.5446153846153846,0.36615384615384616,0.17846153846153845,0.5446153846153846,0.36615384615384616
424,0.8600466676112669,0.882769112054416,0.02272244444314908,0.8433900961329563,0.8878048333387525,0.04441473720579614,0.1803921568627451,0.49411764705882355,0.3137254901960784,0.1803921568627451,0.49411764705882355,0.3137254901960784
425,0.8615622040563323,0.883058794895627,0.02149659083929467,0.845330382071751,0.8894990314685625,0.04416864939681142,0.17813765182186234,0.5344129554655871,0.35627530364372473,0.17813765182186234,0.5344129554655871,0.35627530364372473
426,0.8613156868825378,0.8824196910079507,0.021104004125412912,0.8445158266981877,0.8880115714704043,0.04349574477221663,0.17437722419928825,0.5160142348754448,0.3416370106761566,0.17437722419928825,0.5160142348754448,0.3416370106761566
427,0.858434621996872,0.8811235176447115,0.02268889564783949,0.8417040355676637,0.885290316697402,0.04358628112973828,0.20149253731343283,0.47761194029850745,0.27611940298507465,0.20149253731343283,0.47761194029850745,0.27611940298507465
428,0.8625442921767226,0.8844118816811773,0.021867589504454776,0.8456631477379607,0.8895332235468133,0.043870075808852604,0.18613138686131386,0.48905109489051096,0.3029197080291971,0.18613138686131386,0.48905109489051096,0.3029197080291971
429,0.8626703990386807,0.8849892129551924,0.022318813916511693,0.8454744814545805,0.8910832397126652,0.04560875825808475,0.22764227642276422,0.5487804878048781,0.32113821138211385,0.22764227642276422,0.5487804878048781,0.32113821138211385
430,0.8640414561441223,0.8836731690814359,0.019631712937313583,0.8473601788388487,0.8910546153113745,0.0436944364725258,0.21875,0.515625,0.296875,0.21875,0.515625,0.296875
431,0.8627306669807092,0.8822411452409814,0.01951047826027219,0.8462099279821391,0.8883202146979023,0.04211028671576322,0.21454545454545454,0.5345454545454545,0.32,0.21454545454545454,0.5291777188328912,0.3146322642874367
432,0.8626464723176791,0.88118436006704,0.018537887749360937,0.845720644760449,0.8869746970267223,0.04125405226627332,0.21923076923076923,0.5153846153846153,0.2961538461538461,0.21923076923076923,0.5153846153846153,0.2961538461538461
433,0.8615274473866286,0.8832826998300009,0.021755252443372286,0.8453058498012493,0.8887199154521861,0.04341406565093675,0.18421052631578946,0.4774436090225564,0.29323308270676696,0.18421052631578946,0.4774436090225564,0.29323308270676696
434,0.8625063069777702,0.8815807059794459,0.019074399001675735,0.8454309312253416,0.8864398386606822,0.04100890743534058,0.1791044776119403,0.47388059701492535,0.2947761194029851,0.1791044776119403,0.47388059701492535,0.2947761194029851
435,0.860904102123126,0.8827633587268502,0.02185925660372423,0.8445723332988426,0.8880644712854276,0.04349213798658502,0.15498154981549817,0.5276752767527675,0.3726937269372693,0.15498154981549817,0.5276752767527675,0.3726937269372693
436,0.8624786324136468,0.8821401332086976,0.0196615007950508,0.8458852837458278,0.8884517574862544,0.04256647374042655,0.2007042253521127,0.5422535211267606,0.34154929577464793,0.2007042253521127,0.5422535211267606,0.34154929577464793
437,0.8615322416519471,0.8821623633421479,0.020630121690200842,0.8456640368738328,0.8888632473879855,0.04319921051415265,0.20701754385964913,0.4982456140350877,0.2912280701754386,0.20701754385964913,0.4982456140350877,0.2912280701754386
438,0.8626084583442885,0.8831199827995453,0.020511524455256835,0.8457842510890482,0.8887989857355443,0.04301473464649608,0.23220973782771537,0.5468164794007491,0.3146067415730337,0.23220973782771537,0.5468164794007491,0.3146067415730337
439,0.8618291300606389,0.8805430302649937,0.018713900204354816,0.8448105225730748,0.8859520498026259,0.04114152722955111,0.23282442748091603,0.48091603053435117,0.24809160305343514,0.23282442748091603,0.48091603053435117,0.24809160305343514
440,0.8633821871745736,0.8822232501574414,0.018841062982867807,0.8461776090375868,0.887741267770544,0.0415636587329572,0.2198581560283688,0.5177304964539007,0.2978723404255319,0.2198581560283688,0.5177304964539007,0.2978723404255319
441,0.8626340215226371,0.8823374169874648,0.01970339546482769,0.8461475395639928,0.8880861268850229,0.04193858732103006,0.21487603305785125,0.4793388429752066,0.2644628099173554,0.21487603305785125,0.4793388429752066,0.2644628099173554
442,0.8608785335543141,0.8825384092982039,0.021659875743889834,0.8436602980850445,0.8866474297161252,0.0429871316310807,0.19029850746268656,0.4701492537313433,0.27985074626865675,0.19029850746268656,0.4701492537313433,0.27985074626865675
443,0.8606944090905231,0.8824411795571186,0.021746770466595566,0.8437756312724154,0.8883854410260775,0.04460980975366213,0.19924812030075187,0.5112781954887218,0.3120300751879699,0.19924812030075187,0.5112781954887218,0.3120300751879699
444,0.863195575997849,0.885163397232287,0.021967821234437968,0.8464001582933111,0.8905072446059692,0.04410708631265814,0.1896551724137931,0.5172413793103449,0.32758620689655177,0.1896551724137931,0.5172413793103449,0.32758620689655177
445,0.8610070852923483,0.8836742683813634,0.022667183089015164,0.8440603042570333,0.8889911220308453,0.044930817773812026,0.1984126984126984,0.5317460317460317,0.33333333333333337,0.1984126984126984,0.5317460317460317,0.33333333333333337
446,0.8604723272949822,0.8810776744592209,0.020605347164238674,0.8445727719428717,0.8865064494941206,0.04193367755124888,0.18315018315018314,0.46886446886446886,0.2857142857142857,0.18315018315018314,0.46886446886446886,0.2857142857142857
447,0.8623511479284675,0.8806906203904024,0.018339472461934903,0.8452103765012411,0.8863125943233159,0.041102217822074794,0.22784810126582278,0.48523206751054854,0.25738396624472576,0.22784810126582278,0.48523206751054854,0.25738396624472576
448,0.861145648187841,0.8806299908856875,0.01948434269784649,0.8446293681395576,0.8868844790362899,0.042255110896732284,0.16455696202531644,0.4978902953586498,0.33333333333333337,0.16455696202531644,0.4978902953586498,0.33333333333333337
449,0.8618154474611913,0.8826717522966644,0.020856304835473072,0.8454364368159603,0.8880513031227141,0.04261486630675382,0.20761245674740483,0.5121107266435986,0.3044982698961938,0.20761245674740483,0.5121107266435986,0.3044982698961938
450,0.8568954639270876,0.8824672670737134,0.02557180314662577,0.8406490143739209,0.8883718648432397,0.04772285046931879,0.16216216216216217,0.5337837837837838,0.3716216216216216,0.16216216216216217,0.5337837837837838,0.3716216216216216
451,0.8626238697821799,0.8814840455257859,0.01886017574360599,0.8456522079429338,0.8872413706570043,0.04158916271407043,0.20080321285140562,0.5100401606425703,0.3092369477911647,0.20080321285140562,0.5100401606425703,0.3092369477911647
452,0.8593925203905081,0.8821356541121541,0.022743133721646047,0.8428193319663126,0.8875565976476818,0.044737265681369154,0.16967509025270758,0.5018050541516246,0.332129963898917,0.16967509025270758,0.5018050541516246,0.332129963898917
453,0.8609936838990688,0.8805310676676867,0.01953738376861791,0.8443541238381905,0.8862061871153767,0.04185206327718616,0.2015810276679842,0.4743083003952569,0.2727272727272727,0.2015810276679842,0.4743083003952569,0.2727272727272727
454,0.8606109532789845,0.8814843218857371,0.020873368606752596,0.843486124394535,0.8866977399177896,0.04321161552325459,0.17045454545454544,0.4696969696969697,0.2992424242424243,0.17045454545454544,0.4696969696969697,0.2992424242424243
455,0.8588120945496966,0.8817551815001128,0.022943086950416136,0.8428811449504354,0.8884364791109837,0.045555334160548244,0.15289256198347106,0.5165289256198347,0.3636363636363636,0.15289256198347106,0.5165289256198347,0.3636363636363636
456,0.8615398381510777,0.8840100557576938,0.02247021760661605,0.84474179983375,0.8877967130461129,0.04305491321236288,0.20521172638436483,0.498371335504886,0.2931596091205212,0.20521172638436483,0.498371335504886,0.2931596091205212
457,0.8596711372674867,0.8808314034212659,0.021160266153779195,0.8429029854250809,0.8858920005148921,0.04298901508981123,0.18309859154929578,0.5,0.31690140845070425,0.18309859154929578,0.5,0.31690140845070425
458,0.8589641082465026,0.882176739976029,0.023212631729526367,0.8425086966449804,0.8875124859313106,0.0450037892863302,0.18421052631578946,0.5150375939849624,0.3308270676691729,0.18421052631578946,0.5150375939849624,0.3308270676691729
459,0.8617453383693574,0.8840305357196988,0.0222851973503414,0.8457822373852949,0.8908548125493246,0.04507257516402974,0.18085106382978725,0.5460992907801419,0.36524822695035464,0.18085106382978725,0.5460992907801419,0.36524822695035464
460,0.8611706702998766,0.8827456780468058,0.02157500774692922,0.8447385239638896,0.8894427594546821,0.0447042354907925,0.21839080459770116,0.5555555555555556,0.3371647509578544,0.21839080459770116,0.5555555555555556,0.3371647509578544
461,0.8590563891289292,0.8830064298105028,0.02395004068157358,0.8435489528076241,0.888177438026394,0.04462848521876994,0.16071428571428573,0.525,0.3642857142857143,0.16071428571428573,0.525,0.3642857142857143
462,0.8629719827784611,0.883519985260908,0.020548002482446925,0.8459416055748553,0.889079866001607,0.04313826042675173,0.19915254237288135,0.538135593220339,0.3389830508474576,0.19915254237288135,0.538135593220339,0.3389830508474576
463,0.8640848676695807,0.8833996299791933,0.0193147623096126,0.8472819542514219,0.8887272355634201,0.041445281311998206,0.21223021582733814,0.5,0.28776978417266186,0.21223021582733814,0.5,0.28776978417266186
464,0.8601138278223205,0.8847281021469685,0.024614274324648022,0.8440213003864419,0.890001803890166,0.04598050350372418,0.16312056737588654,0.5283687943262412,0.36524822695035464,0.16312056737588654,0.5283687943262412,0.36524822695035464
465,0.8601405525929168,0.8832996473067997,0.02315909471388289,0.8435580403727799,0.8882800265736023,0.04472198620082235,0.16666666666666666,0.4925925925925926,0.32592592592592595,0.16666666666666666,0.4925925925925926,0.32592592592592595
466,0.8598307059416104,0.8821657202515482,0.022335014309937784,0.8431463956429127,0.8877248181346032,0.04457842249169053,0.18478260869565216,0.48188405797101447,0.2971014492753623,0.18478260869565216,0.48188405797101447,0.2971014492753623
467,0.86136385706439,0.8830285555811015,0.02166469851671149,0.8443582023970203,0.8873320835003644,0.0429738811033441,0.19858156028368795,0.5177304964539007,0.3191489361702127,0.19858156028368795,0.5177304964539007,0.3191489361702127
468,0.86218366339851,0.8847053538908703,0.022521690492360302,0.84588014328918,0.8899933154158727,0.044113172126692635,0.20532319391634982,0.532319391634981,0.3269961977186312,0.20532319391634982,0.532319391634981,0.3269961977186312
469,0.8581927686662502,0.8803748583229062,0.022182089656656023,0.8423232202884346,0.8856258463117145,0.04330262602327983,0.145748987854251,0.4898785425101215,0.3441295546558705,0.145748987854251,0.4898785425101215,0.3441295546558705
470,0.8605486452301011,0.8822700209321044,0.021721375702003276,0.843838852155351,0.8869694918082183,0.04313063965286723,0.1859504132231405,0.48760330578512395,0.30165289256198347,0.1859504132231405,0.48760330578512395,0.30165289256198347
471,0.8601375820862519,0.881671381172725,0.021533799086473127,0.8437467251308298,0.8862277833699279,0.04248105823909809,0.17343173431734318,0.4944649446494465,0.3210332103321033,0.17343173431734318,0.4944649446494465,0.3210332103321033
472,0.8587841842436441,0.8814098174348681,0.022625633191224015,0.8427517753585192,0.8864923201448118,0.043740544786292634,0.18442622950819673,0.5122950819672131,0.3278688524590163,0.18442622950819673,0.5122950819672131,0.3278688524590163
473,0.8590551682981081,0.8809068436034933,0.02185167530538512,0.8423811132638088,0.8853807394657249,0.04299962620191611,0.2094017094017094,0.5042735042735043,0.2948717948717948,0.2094017094017094,0.5042735042735043,0.2948717948717948
474,0.8618146525460809,0.8818979607181405,0.02008330817205961,0.8454617353731396,0.8876596828367496,0.04219794746360994,0.183206106870229,0.5305343511450382,0.34732824427480924,0.183206106870229,0.5305343511450382,0.34732824427480924
475,0.8617248780577615,0.882038808860873,0.020313930803111502,0.8454372333387954,0.8888598886474367,0.04342265530864131,0.1991701244813278,0.5352697095435685,0.3360995850622407,0.1991701244813278,0.5352697095435685,0.3360995850622407
